iteration,accuracy,mean_C,mean_gamma
1,0.433333333333333,42.2002,0.001
1,0.516666666666667,26.0002,0.0226
1,0.533333333333333,46,0.001
1,0.466666666666667,26.2,0.001
1,0.533333333333333,8.0002,0.0064
1,0.55,46,0.001
1,0.55,42.0004,0.0028
1,0.433333333333333,28,0.0028
1,0.483333333333333,26.2,0.0028
1,0.5,44.2,0.001
1,0.533333333333333,44.0002,0.0028
1,0.533333333333333,44.0002,0.2026
1,0.533333333333333,62.0002,0.0226
1,0.483333333333333,44.2,0.001
1,0.55,28,0.0028
1,0.466666666666667,26.0002,0.0208
1,0.516666666666667,6.2002,0.0028
1,0.383333333333333,64,0.0028
1,0.483333333333333,8.2,0.001
1,0.5,46,0.0028
1,0.55,64,0.0028
1,0.466666666666667,28,0.0028
1,0.466666666666667,44.2,0.0028
1,0.516666666666667,24.4,0.001
1,0.516666666666667,44.2,0.001
1,0.55,46,0.001
1,0.516666666666667,10,0.0028
1,0.466666666666667,6.2002,0.4042
1,0.533333333333333,64,0.001
1,0.366666666666667,44.0002,0.0028
1,0.483333333333333,8.0002,0.0028
1,0.45,22.2004,0.2206
1,0.5,42.2002,0.2044
1,0.516666666666667,44.0002,0.0046
1,0.5,8.0002,0.001
1,0.533333333333333,46,0.0046
1,0.483333333333333,46,0.0028
1,0.45,10,0.0028
1,0.583333333333333,60.2002,0.2026
1,0.516666666666667,62.2,0.001
1,0.55,46,0.001
1,0.533333333333333,44.0002,0.001
1,0.516666666666667,46,0.0028
1,0.5,62.2,0.0028
1,0.466666666666667,100,0.001
1,0.516666666666667,46,0.001
1,0.516666666666667,64,0.0028
1,0.466666666666667,42.2002,0.0046
1,0.516666666666667,46,0.0028
1,0.466666666666667,64,0.001
1,0.433333333333333,62.0002,0.001
1,0.533333333333333,28,0.001
1,0.45,64,0.001
1,0.533333333333333,28,0.0046
1,0.566666666666667,26.0002,0.001
1,0.5,28,0.001
1,0.533333333333333,44.0002,0.001
1,0.516666666666667,8.0002,0.001
1,0.516666666666667,24.2002,0.0046
1,0.5,26.2,0.0046
1,0.516666666666667,64,0.0028
1,0.5,8.2,0.0064
1,0.516666666666667,62.0002,0.2008
1,0.5,24.2002,0.0028
1,0.55,62.0002,0.2008
1,0.5,28,0.001
1,0.55,46,0.001
1,0.516666666666667,26.0002,0.0028
1,0.516666666666667,8.2,0.0028
1,0.45,26.0002,0.0226
1,0.466666666666667,64,0.001
1,0.483333333333333,28,0.0028
1,0.5,28,0.001
1,0.566666666666667,60.2002,0.2026
1,0.466666666666667,46,0.0028
1,0.45,82,0.001
1,0.533333333333333,26.0002,0.2008
1,0.433333333333333,44.2,0.0028
1,0.483333333333333,44.0002,0.001
1,0.5,46,0.001
1,0.5,42.2002,0.2008
1,0.433333333333333,62.0002,0.2008
1,0.483333333333333,28,0.0028
1,0.483333333333333,42.0004,0.2026
1,0.483333333333333,62.2,0.0028
1,0.5,26.0002,0.2008
1,0.416666666666667,10,0.0046
1,0.5,44.0002,0.001
1,0.533333333333333,26.2,0.001
1,0.483333333333333,46,0.001
1,0.55,64,0.0028
1,0.6,24.2002,0.2026
1,0.583333333333333,8.0002,0.0028
1,0.416666666666667,6.0004,0.2026
1,0.466666666666667,60.0004,0.2206
1,0.5,64,0.001
1,0.5,26.0002,0.001
1,0.45,26.2,0.0028
1,0.45,46,0.001
1,0.45,42.2002,0.0208
1,0.533333333333333,26.2,0.001
1,0.516666666666667,24.0004,0.0064
1,0.483333333333333,46,0.0028
1,0.566666666666667,26.0002,0.0028
1,0.5,46,0.0028
1,0.4,44.0002,0.2008
1,0.483333333333333,24.2002,0.0046
1,0.55,28,0.001
1,0.483333333333333,8.2,0.001
1,0.516666666666667,44.2,0.0046
1,0.533333333333333,44.2,0.001
1,0.433333333333333,44.2,0.0028
1,0.516666666666667,64,0.0046
1,0.516666666666667,26.2,0.0046
1,0.55,24.0004,0.2206
1,0.483333333333333,26.2,0.0028
1,0.45,4.2004,0.4024
1,0.433333333333333,64,0.001
1,0.583333333333333,28,0.0064
1,0.416666666666667,44.0002,0.001
